71;907/255;;;55,70,72,89;
72;981/263;;42,105,107;42,71,90,91;
73;66/272;;;57,74,92;
74;102/314;46;58,94;58,73,75,92;
75;151/300;;;58,59,74,94;
76;215/298;;;59,60,61,77;
77;258/330;;58,78,94,124;76,78,95,96;
78;308/324;;46,77,79;61,77,79,97;
79;345/316;46,67,93,111;63,78;62,63,78,98;
80;432/332;;;63,99,100;
81;505/343;;;64,82,100;
82;531/326;;65,67,100,140;65,66,81,101;
83;604/316;;;101,102;
84;651/294;;;67,85;
85;692/278;;;68,84,103;
86;763/305;;52,87,102,116;69,103,104;
87;840/324;;41,86,105;70,88;
88;873/333;;;87,89,117;
89;900/309;13,67,128,140;55,105;71,88,105;
90;954/306;;;72,91,105;
91;1027/307;;;56,72,90,105,107;
92;39/349;;;73,74,93;
93;42/382;79;94;92,94;
94;108/366;;74,77,93;75,93,95;
95;137/362;;;77,94,122;
96;290/383;;;77,97,109;
97;322/371;;;78,96,98,109;
98;367/358;;;79,97,99,110;
99;408/362;;;80,98,110,112;
100;479/383;;63,82,111;80,81,101,112,113;
101;555/354;;;82,83,100,114;
102;645/318;;67,86,127;83,103,115;
103;703/311;;;85,86,102;
104;765/341;;;86,116;
105;931/355;;72,87,89,107,108;89,90,91,106,108;
106;995/366;;;105,107;
107;1042/365;;72,105,161;91,106,119;
108;913/428;;105,116,135;105,117,119;115
109;338/435;;;96,97,110,124;
110;388/387;;;98,99,109,111;
111;419/426;67,79,153,163;100,124;110,112,124;
112;437/410;;;99,100,111,125;
113;510/410;;;100,114,125;
114;562/395;;;101,113,115,126,131,132;
115;641/369;;;102,114,126,127;108,157
116;765/416;;86,108,127,142;104,117,118,127;
117;848/447;;;88,108,116,129;
118;766/464;;;116,129,134,142;
119;1018/481;;;107,108,136;
120;36/512;;;121,144;
121;72/515;;;120,122,145;
122;123/511;;123,144;95,121,123,146;
123;251/508;;122,124,144,165;122,124,137,148,149;
124;327/492;;77,111,123,153;109,111,123,130,138;
125;458/445;;;112,113,131;
126;601/424;;;114,115,127,140;
127;693/447;;102,116,133;115,116,126,133,134;
128;815/591;89,140,185;135,142,161,187,199;142,143,160,172,188;
129;841/473;;;117,118,135,142,143;
130;441/495;;;124,131,139;
131;477/468;;;114,125,130;
132;560/465;;;114,140;
133;655/508;;127,140,157;127,140,141;
134;721/487;;;118,127,141,142;
135;875/501;;108,128,161;129,136,143,161;
136;995/549;;;119,135,162;
137;207/551;;;123,147;
138;350/521;;;124,150,152;
139;435/526;;;130,140,153,154;
140;559/516;89,128,153;82,133,154,156;126,132,133,139,154,156;
141;679/523;;;133,134,142,158;
142;765/540;;116,128,157;118,128,129,134,141,143,158;
143;842/532;;;128,129,135,142,160;
144;46/604;;122,123,163;120,145,177;
145;82/600;;;121,144,146;
146;135/596;;;122,145,147,163;
147;171/585;;;137,146,164;
148;224/578;;;123,149,164;
149;267/573;;;123,148,150,165;
150;317/557;;;138,149,151;
151;343/581;;;150,152,165,166;
152;376/554;;;138,151,153;
153;396/585;111,140,163,185;124,154,180,184;139,152,154,166,167;
154;483/564;;140,153,156;139,140,153,155;
155;513/599;;;154,156,167,168;
156;575/601;;140,154,157,184;140,155,157,169;
157;623/605;;133,142,156,185;156,158,170;115,194
158;707/572;;;141,142,157,159;
159;713/686;;;158,170,172,186,198;
160;878/603;;;128,143,161,173;
161;945/596;;107,128,135,199;135,160,174;
162;1042/593;;;136,175;
163;127/624;111,153;144,176,191;146,177;
164;180/625;;;147,148,178,179;
165;280/642;;123,180,191;149,151,179,180;
166;382/618;;;151,153,181,183;
167;460/633;;;153,155,168,183;
168;490/653;;;155,167,184;
169;576/641;;;156,184;
170;617/648;;;157,159,185;
171;927/762;;;173,175,199;
172;788/643;;;128,159,187;
173;896/675;;;160,171,174,188;
174;987/653;;;161,173,175;
175;1036/687;;;162,171,174;
176;31/676;;163,190;177,189;
177;74/665;;;144,163,176;
178;151/658;;;164,189,191;
179;241/671;;;164,165,191;
180;296/682;;153,165,184,190;165,181,193;
181;354/668;;;166,180,182,193;
182;384/673;;;181,183,195;
183;439/647;;;166,167,182,196;
184;533/686;;153,156,180,185;168,169,185,196,197;
185;600/731;128,153;157,184,187;170,184,186;
186;665/717;;;159,185,198;
187;764/694;;128,185;172,188,198;
188;857/698;;;128,173,187,199;
189;73/739;;;176,178,190;
190;122/763;;176,180,191;189,191,192;
191;182/715;;163,165,190;178,179,190,192;
192;195/781;;;190,191,194;
193;339/719;;;180,181,194;
194;353/742;;;192,193,195;157
195;397/740;;;182,194,197;
196;461/704;;;183,184,197;
197;470/746;;;184,195,196;
198;707/782;;;159,186,187,199;
199;867/780;;128,161;171,188,198;
